"k","ncluster","alpha"
89,9,3.5556157532214
85,23,8.49431796476706
79,18,7.00855088596573
91,12,4.27509040485355
78,10,3.14176200316624
81,14,3.59572234841945
61,15,5.70510308663991
95,7,1.9170305055939
86,12,3.01901080124956
80,12,3.71270372162095
92,13,4.64788517417149
63,10,2.66662544124666
84,7,2.27902834289159
84,11,4.67833418589241
78,14,2.79936691239153
65,15,5.92587237178838
75,10,2.43648579593089
57,13,3.26692000360859
61,11,2.69601543877816
74,8,2.54536215838387
94,11,4.69129707597121
82,23,7.76198894089619
81,19,7.19564388261928
74,15,5.08815749983955
66,16,8.77041730650939
68,15,4.50965685469955
92,14,2.62513051403569
78,15,3.35969119171129
43,17,5.46523264239115
61,9,2.55355052817527
91,7,2.05849886855224
76,9,3.19776507322325
77,9,2.06744726816189
61,16,3.90539072146899
88,8,2.45391679660533
86,10,4.19489145538923
82,13,3.63661469266535
55,10,4.05894946493281
60,10,2.99792841813381
100,8,1.65288148244253
65,11,1.79040521393994
48,12,1.11463168801697
68,15,1.91017465553994
90,14,2.91298657927079
73,19,5.22936674800306
79,11,2.97816808784802
88,12,5.69174511261154
89,6,2.77520793685032
85,16,4.4341694588112
81,10,3.33161222446529
51,10,2.77184311394763
75,12,3.62790975892159
75,20,6.16562210022793
85,20,4.91530589835627
61,17,3.27281901208957
90,18,7.20359180559244
89,13,5.55668637221414
76,12,1.48121349288995
62,18,7.95671614840135
74,10,1.92683604702698
60,16,5.71990340743509
89,12,2.26424171030725
71,8,1.40389975525088
63,11,4.7412390155888
67,14,3.51050467968865
66,16,3.29810696946998
65,14,5.44627106091345
96,22,6.61258177100897
88,28,10.0617465064079
98,25,9.41105585508543
65,25,11.8706671594086
76,34,13.3704712426784
75,17,7.12361661253887
95,15,4.41669937384008
79,12,1.68953275503184
74,17,4.23208138227211
95,13,3.45418809327095
77,21,9.54780594488436
69,27,10.8772631991021
93,19,5.32001092793264
92,30,12.7010867399858
93,21,7.8059658937337
81,16,3.40458183971425
66,14,4.93250894301526
87,20,7.28255385589651
53,13,4.76940629433573
71,14,4.41587188704808
70,12,3.88194199797764
63,17,3.72528152487048
84,16,4.8063596226453
60,12,3.12759653275031
78,7,1.71258727058914
57,10,4.50862833280828
92,13,3.21000344552295
93,17,4.80959346195888
85,12,3.68305762895824
88,12,3.71319665368534
75,16,3.91583475199168
99,15,3.9508075331799
97,16,5.02676762158331
99,14,3.51447364764275
72,18,4.53832095996484
48,14,4.91103339823679
72,19,6.79773043744878
76,13,2.04874935447762
59,21,7.20636287489591
73,16,5.38403301329097
69,17,8.07036994843472
100,16,3.6175668985374
85,15,4.16056461520399
82,10,1.82333536664111
87,9,3.22427331926479
73,15,2.88457443105124
95,12,5.35100967451262
89,13,4.95232565550562
85,14,3.70804653647158
95,18,5.47564151552444
95,18,5.122037040457
77,23,8.72169222534593
89,22,9.43552281122598
80,28,10.3385441731527
69,25,10.495762269141
81,13,4.1054501659654
50,6,1.55241720772825
74,8,2.35670476055073
93,10,2.7585534789202
78,9,1.52904898196485
65,14,3.48701150207721
92,14,7.18722214668945
95,18,4.59718247186938
90,18,2.80536927016719
98,23,6.71449896114333
64,17,6.97174927035273
100,20,7.48687515119202
67,23,6.97720808056452
79,14,2.40563500132335
87,22,7.6979767574117
86,21,8.73367115319967
86,22,7.39232781653425
89,13,2.18301974029942
98,14,3.6483940068182
65,19,7.95626815675094
78,19,6.27499691989846
64,15,4.80065612081555
55,15,6.16655071288591
63,22,10.6619167270093
58,14,4.59138015938129
61,15,5.04303926572134
65,11,2.62555907512832
57,12,4.30814452262739
82,18,8.43146225969012
82,12,2.79329766743466
80,16,3.01742427380474
96,16,3.78446430414513
87,15,3.73663625458831
64,19,6.07088179639976
67,15,2.65515894357557
78,19,7.08383359389223
79,20,7.07733599701157
81,14,3.23495085028661
59,18,4.20276506927748
74,23,6.03501882923119
90,19,8.64749412783769
66,13,4.31036752650744
89,14,4.35586017395814
92,14,6.77978229216244
56,12,2.5341035279445
70,10,3.27034268172689
74,16,4.35282818753855
72,13,4.75743863369676
72,16,4.70808925762596
76,12,5.00695118640873
94,21,8.63821365289102
92,18,7.99432306596773
97,20,6.22226410112281
74,17,4.79804191057676
58,17,6.85477052961673
95,34,14.0725014587848
95,34,12.7413690352813
75,20,5.67930538688271
96,19,12.0731740055435
96,23,7.88557423051747
86,16,2.34322303213183
67,15,3.82311461804813
93,10,1.87447365599064
89,22,5.08295942504305
83,16,4.91149155365414
96,29,6.95498319105719
98,22,7.55845908821162
53,16,6.08553908805252
92,16,3.78826657003223
93,16,2.96488087452772
70,16,5.93968908520176
70,13,2.99913976280422
86,15,4.09241844048434
78,20,7.70297293806684
85,16,3.89263067536578
90,18,5.98368510228868
89,13,5.04114963903483
87,15,3.21100307247032
86,15,5.69680419916037
58,9,3.79328627064021
79,12,3.82537428669923
92,14,3.47339913157097
80,13,4.644508867819
85,19,6.959385763777
81,24,15.0647097105645
92,27,5.94758733517205
64,12,3.25181537077882
84,12,4.98494453335095
79,13,3.59560085886141
81,9,2.63135048808634
85,8,2.13371299191848
81,9,3.21980416430135
99,8,2.32429021322117
61,18,6.19750981102499
81,15,6.17988966212337
55,12,3.01420068214109
85,13,3.59969047345617
69,9,1.53241830556564
44,10,1.7475084887857
47,6,1.49595522255402
90,13,2.80860020197613
73,13,5.18635492784561
79,17,6.41283504108003
67,14,2.99142444968671
76,17,4.58706573370481
85,17,4.01873856948068
98,32,8.99954487741325
96,24,8.02359685332253
91,13,4.52266490978503
80,9,2.15791443753079
83,13,3.8537224422594
56,15,5.15830373465624
54,11,2.89895775029589
61,11,3.19703055202588
83,19,5.21129507127923
96,15,5.17233564350814
75,12,3.26463561316733
67,16,8.2568056774763
74,13,3.14519019544679
71,9,3.28421557326709
52,14,4.07028079817976
96,23,5.64192350970961
87,21,7.17415585425369
92,20,6.48366759056057
75,13,4.35639417912691
49,13,5.0642758676345
87,22,4.93988856920118
72,16,3.48724985224904
98,12,4.84854074542496
84,12,2.11573609990131
74,13,3.23641934062595
76,19,7.43322451003239
96,18,6.33108853871928
64,18,7.97227969079972
83,15,5.9915025931373
71,16,6.48949041338398
90,22,7.69194664038253
90,17,5.79734862509668
68,14,4.19778746933363
78,9,3.02021516076017
97,12,3.2379457399959
68,14,3.48581048301682
81,13,3.44762106063858
87,17,4.65851472506023
87,15,3.25899845504415
87,16,5.92172487400952
87,18,8.17686975496063
83,21,5.59024231962883
82,11,2.42313347576845
100,22,11.0700089652949
74,16,6.13970327719233
61,6,0.867545420244365
95,14,3.40379619061974
39,18,5.74388726420788
97,23,7.55974897826792
87,24,8.58463675995756
86,13,2.30155667657177
91,31,13.7436142910414
92,24,10.8260099444711
52,17,4.61695602016414
66,11,2.92127483115697
84,12,5.07147018300017
69,16,3.89291617646132
53,14,3.17932632280218
59,16,4.96266975825616
75,16,3.0798647705626
86,17,3.6787268384323
65,9,3.97690945796284
54,11,5.52930924998305
75,8,2.32599315647967
91,11,3.6280874502518
85,12,4.684385085761
58,9,2.05587163528797
55,6,1.56367210902363
100,15,5.57029319378614
89,34,14.8830640312577
86,29,15.7504146412886
99,14,4.41313057212931
91,10,2.94399696128834
74,17,3.67429887750735
78,8,2.38589294437937
88,8,1.19489039058699
90,10,3.32243117391669
89,19,5.62120064999454
74,20,8.32559004873933
65,12,3.56650365521458
59,15,4.3091456405342
71,13,2.31857366516548
62,9,4.0376381548759
87,11,1.66267561143631
83,18,7.29151016717183
89,12,3.30660320326984
71,14,4.60943301682589
82,14,2.99374581681458
79,18,6.26663188621042
96,22,12.8556645013728
65,15,6.88232985520091
64,22,6.88303716771186
76,16,3.62285946960944
64,7,1.44178786461279
58,10,4.93677943963967
100,21,5.91198015634581
100,21,5.72488503623601
91,16,5.46009373379428
95,22,9.36755366969036
77,18,4.26510801253362
83,16,4.01669297106741
96,16,5.10291589775971
75,14,3.98894174166573
56,5,0.612780956008109
74,13,3.75968831283179
63,15,5.91248693088203
72,13,4.7942800172068
73,6,0.720988491229669
59,8,2.20868644066857
64,14,4.99650129296934
75,20,7.63320376179749
90,27,7.4747135467742
72,15,3.24681420442083
87,13,4.77597139947095
92,16,5.64491156042169
94,13,4.37918225491595
88,17,6.69476904733147
81,23,5.56038975157705
73,23,10.1167094262356
88,18,4.89401848156333
96,15,5.58426093493322
66,16,7.91867968211893
61,9,3.43230060470157
100,9,1.33050692486246
61,8,2.21110168557535
95,9,4.05139838342308
98,11,1.55587847246494
92,17,4.16241516762647
47,12,4.1626627371494
64,13,2.66357844042724
81,11,1.9779927568834
67,18,7.65976676609238
76,12,4.12073164295208
72,17,3.51025482394169
71,20,10.4884693735538
83,27,11.1600334672794
96,15,6.62563453473192
88,22,6.94307096344433
90,22,8.73049516055183
84,17,5.30381820367669
77,12,3.85686230678177
100,15,2.39443848455834
56,9,2.975773546625
64,12,4.77887185415648
81,11,2.61580388317928
65,18,8.0472980356457
73,11,2.85768834481738
98,14,3.74682752061853
71,22,11.5976000966984
54,16,2.84737698254539
88,10,2.49228382162354
69,9,1.3888484074526
84,18,4.32605961352244
83,19,4.51841056732366
70,18,5.35500263113074
74,13,3.26299840814771
98,26,10.1140367884503
85,23,8.41286160058124
82,15,3.44227824342173
68,18,11.097951075074
61,24,9.73120022811743
77,13,5.43171157051459
98,11,2.07281778078509
98,17,5.22541066068812
64,10,3.23254669567479
76,10,1.81462166140346
86,8,2.0354838326244
71,16,5.00649610112088
85,20,9.32216971766523
92,17,4.34406556943792
99,15,5.17904422533623
54,8,4.12117160800222
66,8,1.43559958414385
52,15,5.53620122322031
64,8,2.05304613494438
64,16,4.61478483114593
93,13,6.6168663787695
78,16,4.7779662384891
71,16,6.26365121011061
87,22,8.74898760546731
77,17,4.24563477180449
86,19,4.71709388338074
75,26,8.42944001811699
63,29,11.7866655539283
83,21,4.61134312005649
96,14,5.27681590432613
59,15,4.5378870376953
66,14,3.07184354005599
57,19,7.10090828600157
75,17,9.42546474190297
79,12,2.93842727467154
89,19,6.32602731137768
82,17,5.28697278167026
86,15,3.33660057473474
90,13,2.46688655566512
96,9,1.91160874041063
64,18,5.71518966289288
63,12,2.12555375286975
75,16,5.84176094900171
88,15,4.40199459114846
84,12,2.70103007961785
74,12,6.30496981013988
58,12,3.85534603030657
72,19,7.3689845776446
53,9,3.47667254523809
60,15,2.8756743601803
63,16,6.59730599508339
91,8,1.72347942116814
37,11,2.86199422771886
50,7,2.20887542609969
67,9,1.83394233856913
83,8,1.51799060380581
90,12,5.67690589476702
82,12,4.37632046622752
95,8,2.6443864798359
79,18,4.41703218511797
82,26,8.08115212045876
69,25,12.0931007650063
43,13,3.01497940245779
97,18,4.15274830320586
73,13,2.68211260398129
98,13,5.16274434088492
96,12,2.49162320921487
90,20,9.87594704932976
93,21,5.95669254690984
89,18,6.10264093204921
81,21,5.33638005860157
71,21,8.94632871594323
84,26,9.89095940454619
83,22,8.69176848012212
76,29,9.76493805819761
77,9,3.28195268989391
96,21,7.38507002806899
76,18,4.17994828498975
70,22,9.50566331975056
79,20,6.88354438729287
86,22,6.38929561178641
87,24,9.75486872122967
95,12,3.86486582583067
88,11,3.83329842775442
73,13,5.92884781316603
84,14,3.39207921467682
72,9,2.7079636943821
93,13,5.29354101455879
48,7,1.29961292575555
55,11,2.47508277607393
81,15,4.74188740033429
93,16,4.73718444484842
52,8,4.05732154946017
45,6,1.0647633056607
65,8,2.31003453280211
92,11,3.25196072697671
84,9,4.2343498126109
98,17,4.0623174074181
85,16,4.79653502679754
89,11,4.04727966177154
77,14,4.6747570820941
52,10,3.72011772046516
69,17,4.16887499248272
91,15,3.98783476263626
70,13,3.53995381372995
100,17,2.09884359027723
98,12,2.27553052553469
67,9,2.7154760775458
53,14,4.06899263952125
65,12,4.1445313912332
92,12,4.30838236842062
96,15,4.13820069158105
93,16,7.02566243275623
94,13,7.70981488632046
62,20,9.04890452491032
81,7,2.44865986688046
65,11,2.75153741744887
100,9,5.02565177802405
79,14,3.44621213405863
70,9,3.17266216090652
50,13,3.48522254682789
58,19,5.70101381982556
62,11,2.03753100127098
58,6,0.924775528656078
92,8,2.76821564680394
88,11,2.576949031711
57,11,2.22073315180248
84,13,6.39460982224926
43,13,5.21662808409853
75,14,4.53110511921141
82,13,3.10626427116344
57,11,1.33905832716445
78,13,2.35637374279645
95,8,1.26087235353041
69,13,3.6041627386069
72,17,4.23862537171192
95,24,7.92218337545695
89,17,6.92751860846474
75,16,5.99892889952896
51,23,10.3857498910024
96,24,10.4424402371818
100,18,4.70283369999618
88,17,2.8536688445616
100,17,6.0767876699862
97,25,5.53817715564166
93,10,2.20965156148765
95,11,3.39012185275142
82,17,5.21958570506121
63,15,5.5907043097087
79,20,4.77666159390593
98,25,10.5408398766982
65,14,4.34008463481064
79,13,2.13331434037848
82,17,5.08476080089204
89,20,5.60304966846566
63,9,2.97343741565526
71,11,2.09512569765713
99,21,7.19029941823637
81,16,5.93155917759731
82,19,6.00126986594986
85,19,6.657902837228
87,31,12.2535097937767
100,20,10.2211821369111
77,21,4.40788557722844
96,20,5.1076461017256
62,12,2.0988830696746
90,19,6.95647022995732
51,14,4.25493515664398
87,21,6.13405355240781
75,15,4.29448569834926
77,16,5.33050529287336
69,14,3.83612993662257
80,14,4.15095234832861
62,20,7.32502714414275
95,17,6.63835573172877
66,13,2.92561024579651
82,17,3.4224327112433
60,9,1.13732995800488
67,7,2.40984738457243
58,10,2.34578811544132
97,14,4.72274054460224
81,16,4.82845025613862
96,25,9.25349959988864
96,10,2.31383626825486
52,18,6.08043937621519
74,9,2.93897510541713
90,5,1.55422854467392
92,11,3.16300512263419
67,9,4.2007925510909
82,17,4.12144268216223
85,13,4.409801774352
87,23,8.3839710493179
65,23,9.23387933115926
70,13,8.35834000117402
99,12,2.7169608634715
82,18,5.47828790030235
64,17,6.10895568568035
76,12,2.79999239254273
53,11,2.39204186684384
51,11,2.42712783588288
82,9,3.04650865748055
85,11,1.74967132089661
49,11,2.62283416174043
48,6,1.7863395405033
63,9,3.29120003721526
85,15,4.87875456705324
68,13,2.84603993559712
75,12,3.99580983993643
96,12,2.82370062839822
71,12,3.82175230790909
99,15,2.6403926614635
65,10,1.91290890928507
76,14,3.4211262975914
88,13,4.82310622403176
84,19,3.46161498151725
62,10,1.27630969378776
74,10,2.15489607381178
88,23,12.5434497754138
78,13,3.87534582691174
86,12,2.7253650909918
54,13,3.40081890537918
93,8,1.85416393244936
82,10,2.60205433616432
79,9,3.26346746345102
88,8,2.26299957349628
97,15,3.8440666355617
48,15,4.1475238045683
91,14,3.9915037381819
73,25,11.1445107715016
48,16,5.64472570304973
62,9,4.10353344962459
63,16,5.99858016842821
80,10,1.64117878660491
76,9,3.03785905556973
84,15,4.15235558792411
95,19,6.51517810572978
77,13,4.85917602282271
76,21,4.48694191443066
82,11,3.06424155557396
98,8,5.28050986112507
91,16,9.44530801169899
88,13,4.45177107832586
97,17,3.33249633363047
72,14,4.1607635559819
98,14,4.15378409117319
70,8,2.01327127063791
60,7,2.33360714448294
82,8,3.09443047074325
90,28,9.50133360785164
66,16,3.15644388110361
88,14,3.97447785266731
90,18,5.62595794363952
97,16,3.61236513082092
68,13,3.12420833840814
88,10,2.1323507522397
81,12,3.37477965548483
94,14,4.50997813426263
96,16,6.222756665448
74,26,7.71736972126757
82,13,1.61618726310673
65,19,9.45148896592294
65,15,5.63198169008511
57,17,4.14689091350805
88,21,5.78003051051446
88,10,2.99673033041528
61,8,1.72662969715588
71,6,1.2128614998599
92,9,2.09284599599369
55,10,2.29133550494583
97,19,7.22040578274964
84,28,11.1485879336488
82,17,7.10040517121436
76,16,4.76890061012594
95,9,1.77817547338359
93,16,5.56060896824686
77,16,6.4186413983888
81,18,6.70136785923654
46,12,5.10325671893428
50,8,2.57623325756592
37,6,1.75735467406545
50,8,1.31181469756845
45,5,1.31848922134379
51,9,3.5841094814909
100,12,2.86181652453876
84,17,5.43902756415895
74,12,4.93603718980296
92,24,11.008323024501
55,17,6.94691795658337
92,11,2.50262064740883
79,14,4.19475016564
79,8,1.74303491220303
79,14,4.03169846476115
66,10,4.32055847330238
85,25,8.21492845362779
74,30,11.1526975541661
91,24,9.48727694213536
74,19,10.1335521719299
90,22,4.93394063010538
85,24,13.0933415795426
88,21,9.65539116338635
86,16,4.21479324791724
69,16,5.01563143822447
100,18,5.05279917079726
77,18,3.18985764802538
78,19,6.45057961640484
59,20,6.02233621203153
72,10,2.12412916407933
55,9,1.48757762942615
82,16,4.2483329207747
67,12,4.34377004146791
73,13,4.27554184255851
54,12,4.35807098600024
96,11,3.32416796032094
97,10,4.26212976400562
80,8,1.40424969878403
98,14,4.10389065179281
87,9,1.96911383974308
100,17,5.57599450785662
94,14,4.80758971213521
56,15,3.45641041843224
53,11,3.51576704148941
76,22,6.35039885999041
92,16,7.65478353042636
88,15,2.81651737673205
76,15,5.83580175312577
76,15,5.80255238472549
77,18,5.92378264772653
59,13,2.10670368229353
81,8,1.90409118043707
99,9,2.38992364014915
64,12,3.6145295266148
96,16,4.21068492602549
74,16,4.32539473127665
73,11,3.86880337950078
87,16,4.51844603383697
93,20,3.78468571177731
81,17,5.57525228145546
88,20,8.54585217789994
79,17,6.11913092806905
92,20,7.55061714898182
68,15,6.21404685779927
91,13,3.17555541258375
83,13,3.09500217363683
55,16,5.24578331272391
82,13,7.54759520925935
73,13,4.946275568807
72,12,2.96341194493453
92,14,6.07561765591955
97,22,8.25950830944126
94,22,9.34012174285819
58,11,2.99541712715421
95,20,7.26310995705761
76,19,4.63207405979922
54,12,6.92453626954398
65,14,4.8291443166829
80,27,9.07411772906124
68,15,4.47825783580856
93,14,3.88081462367055
97,25,9.9786184266477
74,18,6.63545823011511
69,11,2.23756678649235
59,15,5.78094522141134
76,10,1.27533743005612
77,16,4.56707815466781
68,19,8.17981207338196
87,13,2.64522117790184
98,21,7.62799290425577
53,12,4.93141451268766
78,11,3.57683273755213
87,10,2.61898584532326
92,15,5.51358010962657
72,19,4.04842566641745
80,21,7.68284116632183
86,14,2.96236331656212
70,26,13.8266642761531
97,19,8.1444566066914
83,18,5.66224787505419
75,9,6.75873651694986
74,10,4.00669780762422
90,17,6.69738563015538
55,10,2.46263324835716
64,13,2.15426724380849
80,11,5.03540335281695
98,19,9.87178529048131
91,14,3.87077722978253
44,15,6.06497431491334
44,7,2.0061167997376
86,14,3.68721040708563
61,17,2.95872397795299
52,18,5.84638853299911
88,21,7.04026380382686
71,12,3.79284401790553
72,18,6.30853350778706
61,14,5.56600414668045
75,18,4.66261651831514
95,12,3.618647787005
94,15,5.20959089844274
56,15,3.2906422696715
51,13,4.69909536460993
83,12,3.16548798959057
61,22,5.66130924076269
86,23,11.13431450216
93,14,3.93696034917732
94,12,4.82628994055423
88,9,2.32183639728433
55,11,3.77520800140131
37,11,2.49161455479288
66,16,5.01999420038785
88,12,4.81065192951587
62,10,2.01277238657935
74,13,4.86244801099487
96,25,9.41113062727571
81,23,6.61685810551451
94,16,5.29581040353286
99,23,8.948107042585
91,21,7.14299400373505
83,19,7.93905827208732
81,18,4.07365039969366
92,12,3.96235091700611
98,13,7.04347784887159
79,21,5.16174856752824
93,17,4.12377861027524
95,14,2.06693673436968
97,16,3.122754289918
76,26,10.4139433308803
88,28,7.15378319724595
79,22,7.30834225886564
99,30,12.169914777112
92,19,6.63319465030404
83,11,2.26063236330578
100,17,8.65287343276868
84,12,5.0219040177314
91,14,5.15009180469976
95,28,9.95128489497112
95,16,5.6630299352561
87,20,6.20069883298302
71,22,7.53630697340435
99,27,8.47185580429346
97,28,8.52546199006005
93,20,6.30703338480542
98,22,8.07321884970274
99,16,2.76164597911843
86,12,5.6912852913021
93,13,2.97999792415042
48,15,4.49159622602304
81,14,5.79124096408933
84,13,2.4547214446291
84,8,4.33006026934901
80,12,4.23915922197807
95,14,5.64943362941756
79,15,4.21800227883231
85,10,1.14095171427493
51,9,2.43653906147178
79,8,3.06738204018627
82,5,2.39777061810036
70,9,1.75827734552545
91,12,3.21354792824738
71,13,3.01931556805838
73,10,3.01592360618927
69,14,5.59647597122923
89,12,5.29662483841002
73,17,5.5077121187889
100,19,6.07154979501519
78,12,4.25645272268568
63,20,7.5544247920307
72,13,3.05335776665173
77,12,2.46578006663161
65,9,2.99299339624718
95,14,5.09305717331997
77,18,4.65505322220465
100,14,3.12587703136815
96,16,4.26094104735794
79,21,7.45013522836917
65,15,6.97617996445072
76,12,3.37186580137418
93,13,7.04038606876824
89,9,1.38972488920633
89,16,3.41737073778615
99,14,5.39627534717857
52,12,3.47110693473232
68,15,4.78471233762468
87,20,6.91709908323254
95,14,4.25859905213731
88,16,4.16744218362923
79,14,3.01246475586458
98,13,2.98243252251739
91,10,2.59727099256931
80,8,2.01482983443704
81,16,5.3029971877929
100,14,3.23905001597132
84,10,3.28575217759863
82,14,2.88087399481785
81,12,3.96576626059431
99,18,9.00614134945106
62,14,3.8058487630897
73,10,3.87877336275808
78,12,2.9304914976124
94,9,2.66816235159282
79,7,0.880814281992267
82,12,3.66896261872835
84,20,5.30927408455641
64,23,7.43293661235786
88,19,3.88114183636314
82,15,4.46421773353351
84,10,3.24448926197494
69,14,4.31737102884252
82,20,10.1504203935684
93,31,12.8464742218002
94,22,8.67364873207797
70,17,3.80240339084131
95,29,12.653969099779
85,21,8.84373584972351
83,8,1.04107648654663
64,13,2.57975905202595
72,12,2.62801673185409
73,8,2.2682414521404
79,11,1.75578797373723
84,14,4.34317570748777
74,11,3.64389997369611
93,11,2.7164282845264
71,9,3.13284446050139
63,12,4.30859624803816
68,11,4.20286386843178
73,13,3.5159264105818
75,14,3.84037663969606
75,12,5.65630185482241
74,19,6.04200107267833
97,16,4.53411485403453
88,14,3.67805703719398
67,9,1.59664685107183
79,16,6.55657444557609
76,15,4.28795047531252
71,16,5.02796285662716
96,21,4.56192988834034
62,11,3.06466878739318
70,7,2.60148447221279
80,6,0.745878471475821
80,15,5.77318542364982
86,19,5.51855884984443
81,13,2.8900933197485
99,16,3.17211550847108
91,19,7.87300620737983
75,14,8.62047333705546
52,20,6.24160557641486
87,19,6.21291932188447
96,11,1.93657939041099
92,19,6.02543900309886
51,16,5.15569828279332
75,12,3.34055749442896
57,16,3.65755855521445
77,13,1.91322125619787
60,10,2.5360912418694
98,7,1.96748956432567
85,11,3.97948067009392
69,8,3.60131994068152
69,10,2.2016338213058
91,9,2.84166914354816
66,13,2.12725583717507
56,9,1.83308543058448
95,20,11.345299655674
71,17,5.29635336670694
65,14,6.07150057021275
72,12,3.94453969171294
76,24,10.3532678612272
85,18,5.06249390863955
88,15,4.92238016031336
68,14,3.83880030652931
80,12,3.46901534047023
90,13,2.4267252012977
81,18,5.75401213933487
100,18,4.9990269126316
62,15,4.95262843855795
81,11,2.76838712911031
95,26,10.163686986271
86,11,3.04737773253536
72,17,4.01599960916866
74,12,4.18906829446787
87,19,4.29127573935676
94,17,4.72350183013097
97,15,5.55566126447753
74,16,4.52117874584701
61,26,5.28465349645421
38,15,4.91723320948738
83,15,5.82804799549403
97,12,2.14266831895509
76,12,1.57443490166487
95,16,7.11702995016499
81,13,3.48620767215278
98,18,3.88104791892583
80,16,8.07523657463753
88,16,4.22214087843385
92,15,6.32431895887969
73,20,5.20058786277484
79,9,2.24757031559564
95,15,4.72740961797879
88,22,9.04986336106898
95,21,8.18716416944299
71,21,8.6786823277507
80,21,6.62657944265488
90,18,5.96878985001306
78,16,2.73688810133789
79,18,7.29467314721061
66,19,8.62870644361545
59,15,3.65740274859486
61,13,4.12957548990013
60,9,1.9254271647884
64,10,3.03289612457738
72,8,2.62626572520278
89,12,3.88386316249111
83,18,5.27477400467918
96,25,10.1343130982192
60,22,4.96354501662955
85,23,6.69879478024648
76,13,3.53290160775531
65,13,4.82740235979877
78,10,3.87448212736084
50,10,2.87122280214146
73,13,3.49448551801131
82,17,4.01749263140111
65,20,7.88017782709203
73,15,3.57852506891617
94,16,5.30065881479641
81,10,2.73030267699905
66,10,3.14621719022273
69,17,7.27714057181765
84,12,2.18463827611276
68,17,7.04980856424546
51,15,4.26584752263342
61,14,3.63415923915414
46,12,1.83984946094721
91,20,4.49126480858355
71,23,5.41651475304262
66,24,8.48934037995888
62,17,3.37021516870291
99,15,2.24646962216318
87,11,5.63757206113704
82,13,4.7011522489361
79,12,2.82146567021353
46,5,2.56118780002829
91,19,6.49921135139187
85,10,3.82309304107184
51,18,10.634439391004
74,18,5.70838884130301
96,11,3.3810275733989
69,11,2.79028959164071
64,18,8.09246085080723
95,11,2.47444086984149
66,16,3.0401387053133
69,33,13.370219515595
91,20,6.09026571353833
82,17,4.71114327695255
80,11,3.06895755571427
80,26,9.90174230783222
92,22,8.38597804869786
86,17,7.4512127926353
57,10,2.27272610359167
64,28,12.083625111298
97,13,3.12128788688122
88,12,2.77099832918896
100,14,4.22095218604125
77,17,8.01970279187176
77,14,3.06557362649129
77,15,5.19960632325216
80,26,8.92618236437517
67,27,9.12075144706247
73,26,8.82773813074263
97,27,14.9417120198241
98,19,10.7459528478584
86,16,7.4580054760694
86,21,6.66851173648269
68,15,6.59349995594879
93,11,2.27350982051955
83,12,2.65784395947076
51,17,5.31557940012651
90,14,3.0579167014533
91,12,2.53753039830592
95,22,9.13303573660527
94,15,3.66504184232029
96,19,6.01857673965312
62,17,8.33099107518901
58,14,4.3429006813981
66,19,4.73742366877145
62,7,3.0413932202069
95,7,1.16934228342406
85,23,6.63734902413836
74,23,7.52078170380281
98,13,5.18753364538849
96,11,2.06350886425101
35,13,5.19201117235355
